ip;sub_ip;vist_time;firtst_visit_time;yiwugouid;session_id_year;session_id;url_layer1;url_layer2;url_layer3;num_before_qm;url;param1_name;param1_value;param2_name;param2_value;agent;status;visit_url;action_name;referer;visit_referer;fileid;ts;host_name;server_name;num;ip_1;sub_ip_1
106.38.199.16;42.62.36.236;2014/10/12 03:39:27.000;0;-;-;-;product;detail;;924942567;/product/detail/924942567.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:24.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:32.000;0;-;-;-;product;detail;;925064714;/product/detail/925064714.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";302;/product/detail/;;-;-;130;2014/10/13 01:05:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:37.000;0;-;-;-;hu;;;01A0040A;/hu/01A0040A.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/hu/;;-;-;130;2014/10/13 01:05:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:42.000;0;-;-;-;product;detail;;923340715;/product/detail/923340715.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:47.000;0;-;-;-;hu;;;0325402B;/hu/0325402B.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/hu/;;-;-;130;2014/10/13 01:05:25.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:52.000;0;-;-;-;product;detail;;925259201;/product/detail/925259201.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:26.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:39:57.000;0;-;-;-;product;detail;;923609263;/product/detail/923609263.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:26.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:40:02.000;0;-;-;-;product;detail;;923774515;/product/detail/923774515.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:26.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:40:08.000;0;-;-;-;product;detail;;925246337;/product/detail/925246337.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:27.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
106.38.199.16;42.62.36.236;2014/10/12 03:40:12.000;0;-;-;-;product;detail;;925293369;/product/detail/925293369.html;;;;;"Mozilla/5.0 (compatible; ChinasoSpider; +http://shoulu.jike.com/spider.html)";200;/product/detail/;;-;-;130;2014/10/13 01:05:27.000;www.yiwugou.com;;1613;106.38.199.16;42.62.36.236
